City Name,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date,Hotel Name
Hilo,19.7297,-155.09,80.6,61,1,11.5,US,1610414274,Hilo Hawaiian Hotel
Waingapu,-9.6567,120.2641,85.64,64,3,3.13,ID,1610414499,Padadita Beach Hotel
Maningrida,-12.0667,134.2667,89.58,63,5,2.93,AU,1610414297,Dhukurrdji Lodge
Mount Isa,-20.7333,139.5,93.2,36,0,6.91,AU,1610414328,
Merauke,-8.4667,140.3333,85.57,67,26,1.59,ID,1610414316,
Port Macquarie,-31.4333,152.9167,86.0,41,0,1.99,AU,1610414176,Ana Mandara Luxury Bed & Breakfast
Karratha,-20.7377,116.8463,95.25,41,0,14.38,AU,1610414289,
Lafiagi,8.8667,5.4167,76.35,23,0,0.83,NG,1610414833,
Murchison,-41.8,172.3333,79.79,29,0,3.09,NZ,1610414850,Murchison Lodge
Bima,-8.4667,118.7167,87.67,67,2,0.78,ID,1610414303,Hotel Marina
Warmbad,-28.45,18.7333,78.48,35,4,10.87,,1610414891,
Alice Springs,-23.7,133.8833,93.2,21,0,13.8,AU,1610414943,
Deniliquin,-35.5333,144.9667,84.99,40,0,7.67,AU,1610414951,
Vanimo,-2.6741,141.3028,86.45,65,30,4.27,PG,1610414967,
Yulara,-25.2406,130.9889,96.8,14,0,10.36,AU,1610414402,Longitude 131
Phan Thiet,10.9333,108.1,75.74,59,11,7.7,VN,1610415002,Yurii Hotel
Port Hedland,-20.3167,118.5667,93.2,62,0,11.5,AU,1610415074,
Makakilo City,21.3469,-158.0858,82.4,61,1,9.22,US,1610415083,
Mildura,-34.2,142.15,80.01,38,0,8.05,AU,1610415091,
