,Unnamed: 0,City Name,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,0,Poya,-21.35,165.15,84.61,72,100,2.75,NC,1609728176
1,1,Pevek,69.7,170.31,-18.15,89,72,6.8,RU,1609728178
2,2,New Norfolk,-42.78,147.06,69.01,52,93,3.0,AU,1609728179
3,3,Kapaa,22.08,-159.32,78.8,65,90,13.87,US,1609728180
4,4,Mount Isa,-20.73,139.5,91.4,41,75,6.93,AU,1609728181
5,5,Liverpool,53.41,-2.98,35.6,90,0,8.05,GB,1609728054
6,6,Mataura,-46.19,168.86,62.01,71,85,11.01,NZ,1609728183
7,7,Bereda,43.27,-7.54,37.0,100,95,1.01,ES,1609727679
8,8,Rikitea,-23.12,-134.97,78.1,79,23,17.43,PF,1609728185
9,9,Kahului,20.89,-156.47,80.6,54,1,24.16,US,1609728186
10,10,Haines Junction,60.75,-137.51,4.87,90,100,1.79,CA,1609728188
11,11,Jamestown,42.1,-79.24,34.0,98,90,3.36,US,1609728063
12,12,Vaini,-21.2,-175.2,82.4,83,75,13.87,TO,1609728190
13,13,Ilulissat,69.22,-51.1,17.6,78,100,12.75,GL,1609728191
14,14,Ushuaia,-54.8,-68.3,44.6,65,40,9.17,AR,1609728049
15,15,Guerrero Negro,27.98,-114.06,58.75,78,0,11.77,MX,1609728193
16,16,Novy Urengoy,66.08,76.63,-19.8,87,0,9.22,RU,1609728194
17,17,Kurush,41.28,47.83,33.8,91,90,9.17,RU,1609728195
18,18,Tigil',57.8,158.67,7.9,95,99,1.97,RU,1609728196
19,19,Clyde River,70.47,-68.59,-23.8,74,1,4.7,CA,1609728197
20,20,Markova,48.68,24.41,36.01,85,66,3.44,UA,1609728198
21,21,Kashgar,39.45,75.98,17.6,72,90,6.71,CN,1609728199
22,22,Nanortalik,60.14,-45.24,24.37,96,99,6.76,GL,1609728201
23,23,Punta Arenas,-53.15,-70.92,44.6,75,18,10.29,CL,1609728017
24,24,Sola,-13.88,167.55,84.18,69,99,8.1,VU,1609728203
25,25,Ancud,-41.87,-73.82,53.01,81,0,6.93,CL,1609728204
26,26,Albany,42.6,-73.97,33.01,86,100,3.47,US,1609728190
27,27,Phan Thiet,10.93,108.1,81.25,67,100,7.31,VN,1609727956
28,28,Port Elizabeth,-33.92,25.57,71.6,94,90,8.05,ZA,1609728207
29,29,Asău,46.43,26.4,39.99,77,99,1.63,RO,1609728208
30,30,Hamilton,39.18,-84.53,35.6,90,90,3.36,US,1609728209
31,31,Kulevcha,46.03,29.94,47.3,92,100,9.24,UA,1609728210
32,32,Bethel,41.37,-73.41,32.0,95,90,8.05,US,1609728211
33,33,Saskylakh,71.92,114.08,-11.92,88,94,9.91,RU,1609728212
34,34,Kruisfontein,-34.0,24.73,69.01,92,71,1.01,ZA,1609728213
35,35,Kudat,6.88,116.85,78.8,94,40,3.36,MY,1609728214
36,36,Terrace,54.52,-128.6,35.6,93,75,14.99,CA,1609728027
37,37,Inírida,3.87,-67.92,73.29,95,95,1.83,CO,1609728217
38,38,Panevezys,55.73,24.35,28.4,92,90,9.17,LT,1609728218
39,39,Lavrentiya,65.58,-171.0,-7.26,89,6,15.08,RU,1609728219
40,40,Kwang Binh,17.48,106.6,66.52,76,92,12.5,VN,1609728220
41,41,Port Alfred,-33.59,26.89,71.01,94,45,3.44,ZA,1609728221
42,42,San Lorenzo,-25.33,-57.53,82.4,58,0,5.82,PY,1609728165
43,43,Hanzhong,33.07,107.03,44.2,58,82,2.37,CN,1609728223
44,44,Sovetskiy,61.36,63.58,-11.42,90,100,5.57,RU,1609728224
45,45,Kabare,-2.47,28.82,61.02,87,100,1.7,CD,1609728225
